datetime,symbol,open,high,low,close,volume,SMA20,SMA50
2021-11-15 20:00:00,NASDAQ:AAPL,150.37,151.88,149.43,150.0,59222803.0,149.75549999999998,147.211
2021-11-16 20:00:00,NASDAQ:AAPL,149.94,151.488,149.34,151.0,59256210.0,149.8675,147.09720000000002
2021-11-17 20:00:00,NASDAQ:AAPL,150.995,155.0,150.99,153.49,88807000.0,150.079,147.0648
2021-11-18 20:00:00,NASDAQ:AAPL,153.71,158.67,153.05,157.87,137827673.0,150.49849999999998,147.1408
2021-11-19 20:00:00,NASDAQ:AAPL,157.65,161.02,156.5328,160.55,117305597.0,151.0915,147.3724
2021-11-22 20:00:00,NASDAQ:AAPL,161.68,165.7,161.0,161.02,117467889.0,151.7105,147.6018
2021-11-23 20:00:00,NASDAQ:AAPL,161.12,161.8,159.0601,161.41,96041899.0,152.315,147.8676
2021-11-24 20:00:00,NASDAQ:AAPL,160.75,162.14,159.64,161.94,69463623.0,152.96949999999998,148.1258
2021-11-26 20:00:00,NASDAQ:AAPL,159.565,160.45,156.36,156.81,76959752.0,153.1815,148.2862
2021-11-29 20:00:00,NASDAQ:AAPL,159.37,161.19,158.7901,160.24,88748217.0,153.70350000000002,148.5698
2021-11-30 20:00:00,NASDAQ:AAPL,159.985,165.52,159.92,165.3,174048056.0,154.5205,149.017
2021-12-01 20:00:00,NASDAQ:AAPL,167.48,170.3,164.53,164.77,152423003.0,155.25799999999998,149.44379999999998
2021-12-02 20:00:00,NASDAQ:AAPL,158.735,164.2,157.8,163.76,136739174.0,155.87150000000003,149.80200000000002
2021-12-03 20:00:00,NASDAQ:AAPL,164.02,164.96,159.72,161.84,118023116.0,156.4155,150.1022
2021-12-06 20:00:00,NASDAQ:AAPL,164.29,167.8799,164.28,165.32,107496982.0,157.1175,150.4702
2021-12-07 20:00:00,NASDAQ:AAPL,169.08,171.58,168.34,171.18,120405352.0,158.1545,150.9864
2021-12-08 20:00:00,NASDAQ:AAPL,172.125,175.96,170.7,175.08,116998901.0,159.368,151.6498
2021-12-09 20:00:00,NASDAQ:AAPL,174.91,176.75,173.92,174.56,108923739.0,160.7,152.28439999999998
2021-12-10 20:00:00,NASDAQ:AAPL,175.205,179.63,174.69,179.45,115402731.0,162.279,153.0434
2021-12-13 20:00:00,NASDAQ:AAPL,181.115,182.13,175.53,175.74,153237019.0,163.56650000000002,153.7052
2021-12-14 20:00:00,NASDAQ:AAPL,175.25,177.74,172.21,174.33,139380382.0,164.783,154.409
2021-12-15 20:00:00,NASDAQ:AAPL,175.11,179.5,172.3108,179.3,131063257.0,166.198,155.1728
2021-12-16 20:00:00,NASDAQ:AAPL,179.28,181.14,170.75,172.26,150185843.0,167.1365,155.77800000000002
2021-12-17 20:00:00,NASDAQ:AAPL,169.93,173.47,169.69,171.14,195923441.0,167.8,156.335
2021-12-20 20:00:00,NASDAQ:AAPL,168.28,170.58,167.46,169.75,107499114.0,168.26,156.87199999999999
2021-12-21 20:00:00,NASDAQ:AAPL,171.555,173.2,169.12,172.99,91185905.0,168.8585,157.4756
2021-12-22 20:00:00,NASDAQ:AAPL,173.04,175.86,172.15,175.64,92135303.0,169.57,158.1582
2021-12-23 20:00:00,NASDAQ:AAPL,175.85,176.8499,175.27,176.28,68356567.0,170.287,158.8656
2021-12-27 20:00:00,NASDAQ:AAPL,177.085,180.42,177.07,180.33,74919582.0,171.46300000000002,159.59699999999998
2021-12-28 20:00:00,NASDAQ:AAPL,180.16,181.33,178.53,179.29,79144339.0,172.4155,160.28599999999997
2021-12-29 20:00:00,NASDAQ:AAPL,179.33,180.63,178.14,179.38,62348931.0,173.11950000000002,160.9426
2021-12-30 20:00:00,NASDAQ:AAPL,179.47,180.57,178.09,178.2,59773014.0,173.791,161.53140000000002
2021-12-31 20:00:00,NASDAQ:AAPL,178.085,179.23,177.26,177.57,64062261.0,174.4815,162.0976
